running_no;year;boxor;box;HEXP;egg_code;code_shift;eggmass;bs_final;bs_origin;individual;sex;mass0;mass2;mass5;mass8;mass11;mass12;mass14;tars14R;tarwho;pha_fin
722;2014;2014_N044;2014_N046;C;2014_E1331;0;NA;7;4;ID00152;UNK;;2.5;5.1;7.2;9.5;;10.7;16.58;MEASURER4;
723;2014;2014_N045;2014_N046;T4;2014_E1334;0;NA;7;5;ID00153;UNK;;2.7;5.6;8.1;10.4;;11.9;16.87;MEASURER4;
724;2014;2014_N046;2014_N046;T4;2014_E1332;0;NA;7;6;ID00154;UNK;;1.8;3.8;6.8;10.1;;10.97;17.1;MEASURER4;
725;2014;2014_N046;2014_N046;CORT;2014_E1333;0;NA;7;6;ID00155;UNK;;3;6;8.8;11.1;;11.97;16.9;MEASURER4;
726;2014;2014_N034;2014_N043;C;2014_E1352;0;NA;3;3;ID00156;M;;2.3;6.1;9.29;11.8;;12.2;17.41;MEASURER4;
727;2014;2014_N043;2014_N043;T4;2014_E1347;0;NA;3;1;ID00157;F;;1.7;5.1;9.39;11;;10.43;16.78;MEASURER4;
728;2014;2014_N013;2014_N015;T4;2014_E1479;0;NA;6;3;ID00158;UNK;;1.3;3.7;6.8;9.4;;10.08;15.51;MEASURER4;
729;2014;2014_N015;2014_N015;T4;2014_E1485;0;NA;6;6;ID00161;M;;2.4;5.7;9.2;11.1;;11.39;16.77;MEASURER4;
730;2014;2014_N015;2014_N015;CORT;2014_E1486;0;NA;6;6;ID00159;UNK;;2.1;6;9.4;11.7;;12.21;16.67;MEASURER4;
731;2014;2014_N015;2014_N015;C;2014_E1487;0;NA;6;6;ID00160;UNK;;2.1;5.3;9.1;11.7;;12.85;16.71;MEASURER4;
732;2014;2014_N040;2014_N042;T4;2014_E1492;0;NA;7;2;ID00162;UNK;;2.4;5.6;8.6;11.1;;11.04;16.81;MEASURER4;
733;2014;2014_N040;2014_N042;CORT;2014_E1493;0;NA;7;2;ID00163;F;;2;4.6;7.3;9.3;;9.87;16;MEASURER4;
734;2014;2014_N042;2014_N042;CORT;2014_E1489;0;NA;7;3;ID00164;F;;2.1;5.3;8.4;10.8;;10.97;16.18;MEASURER4;
735;2014;2014_N001;2014_N003;T4;2014_E1500;0;NA;5;6;ID00165;F;;1.5;4.4;7.5;9.8;;10.4;16.32;MEASURER4;
736;2014;2014_N001;2014_N003;C;2014_E1502;0;NA;5;6;ID00166;F;;1.8;4.9;8.2;10.2;;10;16.15;MEASURER4;
737;2014;2014_N002;2014_N003;T4;2014_E1504;0;NA;5;4;ID00168;M;;1.8;4.8;8;10.7;;10.58;16.89;MEASURER4;
738;2014;2014_N002;2014_N003;CORT;2014_E1505;0;NA;5;4;ID00167;M;;2.2;5.8;9.1;11.2;;11.46;16.82;MEASURER4;
739;2015;2015_N002;2015_N003;CORT;2015_E0329;0;1.18;10;7;ID00234;M;0.8;2.2;7.03;8.78;9.6;9.1;9.8;16.28;MEASURER4;0.306666667
740;2015;2015_N002;2015_N003;T4;2015_E0330;0;NA;10;7;ID00237;M;0.8;2.6;7.15;8.95;9.4;9.2;10.1;16.66;MEASURER4;0.443333333
